date_in,date_out,app_date,hours_in_custody,age_group,gender,citizenship,border,sector,field_office,source
1/20/2017 15:15,1/25/2017 9:52,NA,114.6,9-11 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 15:05,NA,47.81666667,12-14 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/24/2017 8:44,NA,89.46666667,3-5 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 8:12,NA,40.93333333,12-14 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/24/2017 13:44,NA,94.46666667,15-18 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 15:05,NA,47.81666667,12-14 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 15:05,NA,47.81666667,6-8 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 13:00,NA,45.73333333,3-5 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/24/2017 8:44,NA,89.46666667,9-11 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 11:00,NA,43.73333333,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 11:26,NA,44.16666667,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 11:00,NA,43.73333333,12-14 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 8:12,NA,40.93333333,15-18 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 8:12,NA,40.93333333,12-14 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 11:26,NA,44.16666667,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/21/2017 22:31,NA,31.25,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 11:00,NA,43.73333333,15-18 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:20,1/24/2017 17:30,NA,98.16666667,9-11 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:20,1/24/2017 17:30,NA,98.16666667,6-8 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:20,1/24/2017 17:30,NA,98.16666667,6-8 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:20,1/24/2017 17:30,NA,98.16666667,3-5 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:20,1/24/2017 17:30,NA,98.16666667,6-8 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:30,1/21/2017 5:53,NA,14.38333333,15-18 years,Male,MEXICO,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:35,1/24/2017 13:44,NA,94.13333333,3-5 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
