age,education,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
-99,16,4,2,3,2,-100,2,2,-99,1,5,-100,1,1,1,1,-99,-99,1,-99,-99,-100,1
29,18,5,0,2,1,-100,2,2,3,2,4,-100,1,-100,0,9,4,-99,2,-99,-99,-100,2
44,11,5,0,8,2,-100,3,16,4,2,1,-100,1,4,3,3,3,2,2,8,2,-100,1
37,10,1,2,8,1,-100,3,15,6,4,0,-100,1,1,2,0,4,2,2,-98,0,-100,1
70,18,3,4,-100,1,3,1,1,4,3,1,-100,-100,4,-100,-100,-100,-100,-100,-100,-100,1,3
-99,13,5,-100,-100,2,-97,1,1,2,4,2,-100,-100,4,-100,-100,-100,-100,-100,-100,-100,-100,3
62,12,4,2,3,1,3,1,1,6,2,0,-100,2,-100,6,7,-100,-100,-100,-100,-100,3,2
24,16,5,0,2,2,-100,1,1,3,4,0,-100,1,-100,2,3,4,2,2,9,3,2,2
83,12,2,2,3,2,-100,3,4,3,7,4,-100,2,-100,6,0,-100,-100,-100,-100,-100,-100,2
71,17,4,1,2,1,-100,1,1,5,2,3,-100,1,3,2,9,-100,-100,-100,-100,-100,1,1
68,16,1,0,8,1,-100,1,1,6,3,0,-100,2,4,2,14,7,2,1,10,0,3,1
-99,12,3,2,-100,2,3,-100,-100,5,1,-99,-100,-100,4,-100,-100,-98,2,3,9,20,-100,3
74,19,1,2,-100,1,3,3,4,4,7,4,1,-100,1,-100,-100,4,2,2,8,0,-100,3
46,16,5,0,8,2,-100,2,2,-98,9,3,-100,1,-100,0,7,4,1,1,7,0,-100,2
48,17,1,4,3,1,3,3,15,4,9,3,-100,1,-100,2,0,2,2,1,7,15,3,2
55,20,1,2,4,2,-100,1,1,7,2,0,2,1,4,0,1,1,2,1,-98,0,-100,1
46,12,1,2,-100,2,-100,1,1,5,2,3,2,-100,1,-100,-100,-100,-100,1,-100,-100,2,3
40,18,1,2,8,2,-100,1,1,2,4,0,1,1,4,1,20,2,2,2,9,5,-100,1
63,16,4,3,2,2,-100,1,1,5,2,2,-100,1,-100,8,-100,-100,-100,-100,-100,-100,-100,2
65,12,2,0,-100,2,3,1,1,4,1,0,-100,-100,4,-100,-100,7,2,1,8,0,-100,3
31,18,5,2,-100,2,-100,1,1,5,2,3,1,-100,4,-100,-100,1,2,1,-98,0,-100,3
39,13,4,2,-100,1,3,1,1,6,4,0,-100,-100,4,-100,-100,2,2,1,8,0,-100,3
51,20,3,3,3,1,-100,1,1,2,4,0,-100,1,-100,2,40,3,2,2,8,0,2,2
34,16,5,0,3,1,-100,1,1,4,1,0,1,1,4,20,8,2,2,2,6,0,1,1
